plz,note,einwohner,qkm,Voltis
14513,14513 Teltow,22479,21.718374,1.0
16548,16548 Glienicke/Nordbahn,11070,4.627335,0.0
16552,16552 Schildow,6103,6.601732,1.0
14482,14482 Potsdam,22193,9.745288,4.0
14467,14467 Potsdam,13113,4.052545,2.0
14979,14979 Großbeeren,7651,51.81756,2.0
16761,16761 Hennigsdorf,25527,31.120745,2.0
15366,"15366 Neuenhagen, Hoppegarten",33351,51.624966,3.0
12529,12529 Schönefeld,13419,81.748154,0.0
14532,14532 Kleinmachnow,34096,61.428706,2.0
14480,14480 Potsdam,28576,9.523126,0.0
14478,14478 Potsdam,24831,6.517958,6.0
14473,14473 Potsdam,11335,18.900963,1.0
16567,16567 Mühlenbecker Land,5971,29.752963,0.0
14612,14612 Falkensee,40187,43.25999,2.0
16540,16540 Hohen Neuendorf,14728,19.408164,0.0
14471,14471 Potsdam,17443,14.059449,1.0
15566,15566 Schöneiche bei Berlin,11827,16.774051,0.0
14469,14469 Potsdam,24882,47.597457,2.0
15732,15732 Schulzendorf b. Eichenwade,13868,11.934792,1.0
16341,16341 Panketal,18888,26.041953,0.0
16562,16562 Hohen Neuendorf OT Bergfelde,5502,13.176929,1.0
14624,14624 Dallgow-Döberitz,8635,66.49165,0.0
14558,14558 Nuthetal,8601,47.87301,0.0
16767,16767 Leegebruch,6573,6.429799,0.0
15370,"15370 Fredersdorf-Vogelsdorf, Petershagen",20762,27.659262,0.0
16547,16547 Birkenwerder,7716,18.185567,0.0
15831,15831 Blankenfelde-Mahlow,12753,32.465086,0.0
16727,"16727 Velten, Oberkrämer",21896,127.629559,2.0
15562,15562 Rüdersdorf,9724,38.354051,0.0
15827,15827 Blankenfelde-Mahlow,12838,22.785064,0.0
15738,15738 Zeuthen,10568,12.74003,0.0
16556,16556 Borgsdorf,4438,15.790555,0.0
14552,14552 Michendorf,11686,68.8565,0.0
14542,14542 Werder/ Havel,23270,116.865318,3.0
14548,14548 Schwielowswee,9995,58.599029,0.0
16356,16356 Werneuchen,20587,175.078642,0.0
14974,14974 Ludwigsfelde,23680,110.174597,0.0
15713,15713 Königs Wusterhausen,4549,42.408983,0.0
16515,"16515 Oranienburg, Mühlenbecker Land",43375,180.410213,2.0
15378,15378 Rüdersdorf,4685,24.238389,0.0
14476,14476 Potsdam,13552,78.139404,1.0
15569,15569 Woltersdorf,7771,9.198621,0.0
14554,14554 Seddiner See,3946,23.913297,0.0
16321,16321 Bernau,37758,118.341297,0.0
14656,14656 Brieselang,10745,44.402308,0.0
14621,14621 Schönwalde,8836,97.278882,0.0
15745,15745 Wildau,9744,9.125981,0.0
15711,15711 Königs Wusterhausen,22181,25.108234,2.0
14669,14669 Ketzin,6345,94.413335,0.0
15749,15749 Mittenwalde,8652,99.751448,0.0
14547,14547 Beelitz,11763,181.374182,0.0
15537,15537 Erkner,22085,159.068313,0.0
14550,14550 Groß Kreutz,8193,99.339635,0.0
15712,15712 Königs Wusterhausen,6987,28.617831,0.0
15834,15834 Rangsdorf,10405,33.8824,0.0
15344,15344 Strausberg,25565,68.082893,2.0
15741,15741 Bestensee,6640,38.106026,0.0
14959,14959 Trebbin,9258,126.622163,0.0
15345,"15345 Lichtenow, Altlandsberg u.a.",21797,302.919129,0.0
16348,16348 Wandlitz,22428,204.303654,0.0
15528,15528 Spreenhagen,3334,137.158736,0.0
16559,16559 Liebenwalde,4323,144.292744,0.0
14797,14797 Lehnin,10849,199.445142,0.0
14641,14641 Nauen,26761,386.371889,0.0
16766,16766 Kremmen,7166,207.961611,0.0
15806,15806 Zossen,17263,180.419242,0.0
16359,16359 Biesenthal,5515,60.479974,0.0
14778,"14778 Beetzsee, Wollin, Wenzlow, Golzow u.a.",7663,220.061771,0.0
15754,15754 Heidesee,7056,135.932722,0.0
3226,03226 Vetschau,8798,111.674939,0.0
3205,"03205 Calau, Bronkow",9068,202.684852,0.0
14943,14943 Luckenwalde,20283,46.67288,0.0
3099,03099 Kolkwitz,9364,105.060477,0.0
14776,14776 Brandenburg/Havel,23481,106.543948,1.0
3046,03046 Cottbus,20626,8.030099,3.0
3048,03048 Cottbus,14639,9.500613,0.0
15907,15907 Lübben (Spreewald),13897,121.081213,1.0
15838,15838 Am Mellensee,6547,104.866331,0.0
15746,15746 Groß Köris,2255,68.516514,0.0
3055,03055 Cottbus,3613,19.080204,0.0
3044,03044 Cottbus,17694,15.437891,1.0
14947,14947 Nuthe-Urstromtal,6559,341.868129,1.0
15517,15517 Fürstenwalde/ Spree,30982,70.872597,0.0
3050,03050 Cottbus,14076,6.203291,2.0
3116,03116 Drebkau,5914,144.699834,1.0
16227,16227 Eberswalde,15774,19.312973,0.0
3096,03096 Burg/Spreewald u.a.,9426,126.776711,0.0
15526,15526 Bad Saarow-Pieskow,5988,76.755354,0.0
1994,01994 Schipkau,1986,23.877941,0.0
16225,16225 Eberswalde,23529,74.616371,0.0
3042,03042 Cottbus,18419,20.863125,0.0
1983,01983 Großräschen,9382,81.115772,1.0
14822,"14822 Brück, Borkheide u.a.",9764,232.749807,0.0
3229,"03229 Altdöbern, Luckaitztal",3606,103.021699,0.0
16833,16833 Fehrbellin,6616,198.939295,0.0
3054,03054 Cottbus,2302,20.352006,0.0
15859,15859 Storkow,9060,180.734453,0.0
1998,01998 Schipkau,1415,17.590324,0.0
3051,03051 Cottbus,6526,27.979303,0.0
3053,03053 Cottbus,694,6.640242,0.0
16244,16244 Schorfheide,9825,236.228374,0.0
14770,14770 Brandenburg/ Havel,22112,16.146136,1.0
1990,01990 Ortrand,3403,21.19678,0.0
15864,15864 Wendisch Rietz,1981,34.716605,0.0
